"","ACCU","CEA","EUA","UKA","NZU","KAU","WCA","CCA"
"1",NA,NA,17.5,NA,NA,NA,NA,NA
"2",NA,NA,16.55,NA,NA,NA,NA,NA
"3",NA,NA,16.55,NA,NA,NA,NA,NA
"4",NA,NA,15.8,NA,NA,NA,NA,NA
"5",NA,NA,14.5,NA,NA,NA,NA,NA
"6",NA,NA,14.7,NA,NA,NA,NA,NA
"7",NA,NA,14.85,NA,NA,NA,NA,NA
"8",NA,NA,15.25,NA,NA,NA,NA,NA
"9",NA,NA,15.55,NA,NA,NA,NA,NA
"10",NA,NA,16.15,NA,NA,NA,NA,NA
"11",NA,NA,16.4,NA,NA,NA,NA,NA
"12",NA,NA,15.65,NA,NA,NA,NA,NA
"13",NA,NA,15.8,NA,NA,NA,NA,NA
"14",NA,NA,15.8,NA,NA,NA,NA,NA
"15",NA,NA,15.65,NA,NA,NA,NA,NA
"16",NA,NA,15.65,NA,NA,NA,NA,NA
"17",NA,NA,15.25,NA,NA,NA,NA,NA
"18",NA,NA,15.35,NA,NA,NA,NA,NA
"19",NA,NA,15.55,NA,NA,NA,NA,NA
"20",NA,NA,15.5,NA,NA,NA,NA,NA
"21",NA,NA,15.35,NA,NA,NA,NA,NA
"22",NA,NA,15.3,NA,NA,NA,NA,NA
"23",NA,NA,15.35,NA,NA,NA,NA,NA
"24",NA,NA,14.75,NA,NA,NA,NA,NA
"25",NA,NA,14.95,NA,NA,NA,NA,NA
"26",NA,NA,14.85,NA,NA,NA,NA,NA
"27",NA,NA,14.45,NA,NA,NA,NA,NA
"28",NA,NA,13.8,NA,NA,NA,NA,NA
"29",NA,NA,14.1,NA,NA,NA,NA,NA
"30",NA,NA,14.2,NA,NA,NA,NA,NA
"31",NA,NA,13.7,NA,NA,NA,NA,NA
"32",NA,NA,13.6,NA,NA,NA,NA,NA
"33",NA,NA,13.65,NA,NA,NA,NA,NA
"34",NA,NA,13.7,NA,NA,NA,NA,NA
"35",NA,NA,12.75,NA,NA,NA,NA,NA
"36",NA,NA,12.25,NA,NA,NA,NA,NA
"37",NA,NA,12.9,NA,NA,NA,NA,NA
"38",NA,NA,13.05,NA,NA,NA,NA,NA
"39",NA,NA,14.5,NA,NA,NA,NA,NA
"40",NA,NA,15.3,NA,NA,NA,NA,NA
"41",NA,NA,15,NA,NA,NA,NA,NA
"42",NA,NA,14.9,NA,NA,NA,NA,NA
"43",NA,NA,15.25,NA,NA,NA,NA,NA
"44",NA,NA,14.85,NA,NA,NA,NA,NA
"45",NA,NA,13.65,NA,NA,NA,NA,NA
"46",NA,NA,13.75,NA,NA,NA,NA,NA
"47",NA,NA,14.25,NA,NA,NA,NA,NA
