"","Date","ACCU","CEA","EUA","UKA","NZU","KAU","WCA","CCA"
"1",2007-01-02,NA,NA,17.5,NA,NA,NA,NA,NA
"2",2007-01-03,NA,NA,16.55,NA,NA,NA,NA,NA
"3",2007-01-04,NA,NA,16.55,NA,NA,NA,NA,NA
"4",2007-01-05,NA,NA,15.8,NA,NA,NA,NA,NA
"5",2007-01-08,NA,NA,14.5,NA,NA,NA,NA,NA
"6",2007-01-09,NA,NA,14.7,NA,NA,NA,NA,NA
"7",2007-01-10,NA,NA,14.85,NA,NA,NA,NA,NA
"8",2007-01-11,NA,NA,15.25,NA,NA,NA,NA,NA
"9",2007-01-12,NA,NA,15.55,NA,NA,NA,NA,NA
"10",2007-01-15,NA,NA,16.15,NA,NA,NA,NA,NA
"11",2007-01-16,NA,NA,16.4,NA,NA,NA,NA,NA
"12",2007-01-17,NA,NA,15.65,NA,NA,NA,NA,NA
"13",2007-01-18,NA,NA,15.8,NA,NA,NA,NA,NA
"14",2007-01-19,NA,NA,15.8,NA,NA,NA,NA,NA
"15",2007-01-22,NA,NA,15.65,NA,NA,NA,NA,NA
"16",2007-01-23,NA,NA,15.65,NA,NA,NA,NA,NA
"17",2007-01-24,NA,NA,15.25,NA,NA,NA,NA,NA
"18",2007-01-25,NA,NA,15.35,NA,NA,NA,NA,NA
"19",2007-01-26,NA,NA,15.55,NA,NA,NA,NA,NA
"20",2007-01-29,NA,NA,15.5,NA,NA,NA,NA,NA
"21",2007-01-30,NA,NA,15.35,NA,NA,NA,NA,NA
"22",2007-01-31,NA,NA,15.3,NA,NA,NA,NA,NA
"23",2007-02-01,NA,NA,15.35,NA,NA,NA,NA,NA
"24",2007-02-02,NA,NA,14.75,NA,NA,NA,NA,NA
"25",2007-02-05,NA,NA,14.95,NA,NA,NA,NA,NA
"26",2007-02-06,NA,NA,14.85,NA,NA,NA,NA,NA
"27",2007-02-07,NA,NA,14.45,NA,NA,NA,NA,NA
"28",2007-02-08,NA,NA,13.8,NA,NA,NA,NA,NA
"29",2007-02-09,NA,NA,14.1,NA,NA,NA,NA,NA
"30",2007-02-12,NA,NA,14.2,NA,NA,NA,NA,NA
"31",2007-02-13,NA,NA,13.7,NA,NA,NA,NA,NA
"32",2007-02-14,NA,NA,13.6,NA,NA,NA,NA,NA
"33",2007-02-15,NA,NA,13.65,NA,NA,NA,NA,NA
"34",2007-02-16,NA,NA,13.7,NA,NA,NA,NA,NA
"35",2007-02-19,NA,NA,12.75,NA,NA,NA,NA,NA
"36",2007-02-20,NA,NA,12.25,NA,NA,NA,NA,NA
"37",2007-02-21,NA,NA,12.9,NA,NA,NA,NA,NA
"38",2007-02-22,NA,NA,13.05,NA,NA,NA,NA,NA
"39",2007-02-23,NA,NA,14.5,NA,NA,NA,NA,NA
"40",2007-02-26,NA,NA,15.3,NA,NA,NA,NA,NA
"41",2007-02-27,NA,NA,15,NA,NA,NA,NA,NA
"42",2007-02-28,NA,NA,14.9,NA,NA,NA,NA,NA
"43",2007-03-01,NA,NA,15.25,NA,NA,NA,NA,NA
"44",2007-03-02,NA,NA,14.85,NA,NA,NA,NA,NA
"45",2007-03-05,NA,NA,13.65,NA,NA,NA,NA,NA
"46",2007-03-06,NA,NA,13.75,NA,NA,NA,NA,NA
"47",2007-03-07,NA,NA,14.25,NA,NA,NA,NA,NA
"48",2007-03-08,NA,NA,14.75,NA,NA,NA,NA,NA
"49",2007-03-09,NA,NA,14.8,NA,NA,NA,NA,NA
"50",2007-03-12,NA,NA,15.1,NA,NA,NA,NA,NA
"51",2007-03-13,NA,NA,15,NA,NA,NA,NA,NA
"52",2007-03-14,NA,NA,15,NA,NA,NA,NA,NA
"53",2007-03-15,NA,NA,15.5,NA,NA,NA,NA,NA
"54",2007-03-16,NA,NA,15.45,NA,NA,NA,NA,NA
"55",2007-03-19,NA,NA,15.6,NA,NA,NA,NA,NA
"56",2007-03-20,NA,NA,16.5,NA,NA,NA,NA,NA
"57",2007-03-21,NA,NA,16.45,NA,NA,NA,NA,NA
"58",2007-03-22,NA,NA,16.45,NA,NA,NA,NA,NA
"59",2007-03-23,NA,NA,16.35,NA,NA,NA,NA,NA
"60",2007-03-26,NA,NA,17.25,NA,NA,NA,NA,NA
"61",2007-03-27,NA,NA,16.95,NA,NA,NA,NA,NA
"62",2007-03-28,NA,NA,17.34,NA,NA,NA,NA,NA
"63",2007-03-29,NA,NA,17.49,NA,NA,NA,NA,NA
"64",2007-03-30,NA,NA,17.48,NA,NA,NA,NA,NA
"65",2007-04-02,NA,NA,16.83,NA,NA,NA,NA,NA
"66",2007-04-03,NA,NA,15.89,NA,NA,NA,NA,NA
"67",2007-04-04,NA,NA,16.13,NA,NA,NA,NA,NA
"68",2007-04-05,NA,NA,16.58,NA,NA,NA,NA,NA
"69",2007-04-09,NA,NA,16.04,NA,NA,NA,NA,NA
"70",2007-04-10,NA,NA,16.65,NA,NA,NA,NA,NA
"71",2007-04-11,NA,NA,17.03,NA,NA,NA,NA,NA
"72",2007-04-12,NA,NA,17.45,NA,NA,NA,NA,NA
"73",2007-04-13,NA,NA,17.83,NA,NA,NA,NA,NA
"74",2007-04-16,NA,NA,17.82,NA,NA,NA,NA,NA
"75",2007-04-17,NA,NA,17.8,NA,NA,NA,NA,NA
"76",2007-04-18,NA,NA,17.5,NA,NA,NA,NA,NA
"77",2007-04-19,NA,NA,17.14,NA,NA,NA,NA,NA
"78",2007-04-20,NA,NA,17.45,NA,NA,NA,NA,NA
"79",2007-04-23,NA,NA,18,NA,NA,NA,NA,NA
