"DateTime","Auction Clearing Price - Spot","Cost Containment Reserve Price","Front December - ICE","Front Month - ICE"
"2015-01-02",,6,,5.28
"2015-01-05",,6,,5.28
"2015-01-06",,6,,5.29
"2015-01-07",,6,,5.35
"2015-01-08",,6,,5.38
"2015-01-09",,6,,5.39
"2015-01-12",,6,,5.39
"2015-01-13",,6,,5.43
"2015-01-14",,6,,5.49
"2015-01-15",,6,,5.5
"2015-01-16",,6,,5.53
"2015-01-19",,6,,5.53
"2015-01-20",,6,,5.55
"2015-01-21",,6,,5.53
"2015-01-22",,6,,5.52
"2015-01-23",,6,,5.52
"2015-01-26",,6,,5.48
"2015-01-27",,6,,5.48
"2015-01-28",,6,,5.48
"2015-01-29",,6,,5.38
"2015-01-30",,6,,5.39
"2015-02-02",,6,,5.39
"2015-02-03",,6,,5.37
"2015-02-04",,6,,5.39
"2015-02-05",,6,,5.39
"2015-02-06",,6,,5.39
"2015-02-09",,6,,5.4
"2015-02-10",,6,,5.4
"2015-02-11",,6,,5.48
"2015-02-12",,6,,5.56
"2015-02-13",,6,,5.55
"2015-02-16",,6,,5.55
"2015-02-17",,6,,5.6
"2015-02-18",,6,,5.6
"2015-02-19",,6,,5.59
"2015-02-20",,6,,5.59
"2015-02-23",,6,,5.56
"2015-02-24",,6,,5.58
"2015-02-25",,6,,5.59
"2015-02-26",,6,,5.58
"2015-02-27",,6,,5.58
"2015-03-02",,6,,5.58
"2015-03-03",,6,,5.47
"2015-03-04",,6,,5.47
"2015-03-05",,6,,5.49
"2015-03-06",,6,,5.47
"2015-03-09",,6,,5.46
"2015-03-10",,6,,5.39
"2015-03-11",5.41,6,,5.39
"2015-03-12",,6,,5.34
"2015-03-13",,6,,5.4
"2015-03-16",,6,,5.4
"2015-03-17",,6,,5.4
"2015-03-18",,6,,5.38
"2015-03-19",,6,,5.38
"2015-03-20",,6,,5.38
"2015-03-23",,6,,5.38
"2015-03-24",,6,,5.36
"2015-03-25",,6,,5.35
"2015-03-26",,6,,5.35
"2015-03-27",,6,,5.32
"2015-03-30",,6,,5.31
"2015-03-31",,6,,5.34
"2015-04-01",,6,,5.34
"2015-04-02",,6,,5.36
"2015-04-06",,6,,5.34
"2015-04-07",,6,,5.35
"2015-04-08",,6,,5.35
"2015-04-09",,6,,5.35
"2015-04-10",,6,,5.35
"2015-04-13",,6,,5.39
"2015-04-14",,6,,5.44
"2015-04-15",,6,,5.42
"2015-04-16",,6,,5.41
"2015-04-17",,6,,5.42
"2015-04-20",,6,,5.42
"2015-04-21",,6,,5.44
"2015-04-22",,6,,5.46
"2015-04-23",,6,,5.46
"2015-04-24",,6,,5.47
"2015-04-27",,6,,5.48
"2015-04-28",,6,,5.48
"2015-04-29",,6,,5.48
"2015-04-30",,6,,5.48
"2015-05-01",,6,,5.51
"2015-05-04",,6,,5.5
"2015-05-05",,6,,5.5
"2015-05-06",,6,,5.5
"2015-05-07",,6,,5.52
"2015-05-08",,6,,5.51
"2015-05-11",,6,,5.56
"2015-05-12",,6,,5.53
"2015-05-13",,6,,5.53
"2015-05-14",,6,,5.51
"2015-05-15",,6,,5.48
"2015-05-18",,6,,5.44
"2015-05-19",,6,,5.44
"2015-05-20",,6,,5.42
"2015-05-21",,6,,5.38
"2015-05-22",,6,,5.38
"2015-05-25",,6,,5.38
"2015-05-26",,6,,5.39
"2015-05-27",,6,,5.43
"2015-05-28",,6,,5.43
"2015-05-29",,6,,5.43
"2015-06-01",,6,,5.43
"2015-06-02",,6,,5.43
"2015-06-03",5.5,6,,5.43
