"DateTime","Auction Current Vintage - Spot - ARB","Auction Future Vintage - Spot - ARB","CCA - Front December - ICE","CCA - Spot - Evolution Markets","CCO3 - Spot - Evolution Markets","CCO8 - Spot - Evolution Markets","DEBS CCO-0 – Front Month – Nodal","Floor - Spot - ARB","Golden CCO - Spot - Evolution Markets"
"2015-01-05",,,13.02,12.9,9.63,9.1,,12.1,10.75
"2015-01-06",,,13.11,12.9,9.63,9.1,,12.1,10.75
"2015-01-07",,,13.14,12.9,9.63,9.1,,12.1,10.75
"2015-01-08",,,13.1,12.88,9.63,9.1,,12.1,10.75
"2015-01-09",,,12.95,12.79,9.63,9.1,,12.1,10.75
"2015-01-12",,,12.95,12.79,9.75,9.25,,12.1,10.75
"2015-01-13",,,12.99,12.8,9.88,9.4,,12.1,10.75
"2015-01-14",,,12.99,12.8,9.83,9.35,,12.1,10.75
"2015-01-15",,,12.95,12.74,9.88,9.3,,12.1,10.88
"2015-01-16",,,12.96,12.75,9.88,9.3,,12.1,10.88
"2015-01-20",,,12.97,12.75,9.88,9.3,,12.1,10.88
"2015-01-21",,,12.95,12.72,9.88,9.3,,12.1,10.88
"2015-01-22",,,12.94,12.72,9.88,9.3,,12.1,10.88
"2015-01-23",,,12.95,12.73,9.95,9.38,,12.1,10.88
"2015-01-26",,,12.97,12.75,9.95,9.38,,12.1,10.88
"2015-01-27",,,12.97,12.77,9.95,9.38,,12.1,10.88
"2015-01-28",,,12.97,12.77,9.95,9.38,,12.1,11.05
"2015-01-29",,,12.99,12.77,9.95,9.6,,12.1,11.12
"2015-01-30",,,13.01,12.77,9.95,9.6,,12.1,11.12
"2015-02-02",,,13,12.81,9.95,9.6,,12.1,11.12
"2015-02-03",,,12.99,12.8,9.95,9.6,,12.1,11.12
"2015-02-04",,,12.91,12.72,9.9,9.55,,12.1,11.07
"2015-02-05",,,12.9,12.71,9.9,9.55,,12.1,11.07
"2015-02-06",,,12.84,12.65,9.9,9.55,,12.1,11.07
"2015-02-09",,,12.84,12.65,9.85,9.5,,12.1,11
"2015-02-10",,,12.83,12.64,9.85,9.5,,12.1,11
"2015-02-11",,,12.84,12.65,9.85,9.5,,12.1,11
"2015-02-12",,,12.83,12.66,9.85,9.5,,12.1,11
"2015-02-13",,,12.84,12.66,9.85,9.5,,12.1,11
"2015-02-17",,,12.87,12.64,9.85,9.5,,12.1,11
"2015-02-18",12.21,12.1,12.84,12.63,9.85,9.5,,12.1,11
"2015-02-19",,,12.84,12.63,9.85,9.5,,12.1,11
"2015-02-20",,,12.84,12.63,9.85,9.5,,12.1,11
"2015-02-23",,,12.82,12.61,9.85,9.5,,12.1,11
"2015-02-24",,,12.84,12.63,9.85,9.5,,12.1,11
"2015-02-25",,,12.65,12.63,9.68,9.35,,12.1,10.62
"2015-02-26",,,12.65,12.63,9.68,9.35,,12.1,11
"2015-02-27",,,12.64,12.63,9.68,9.35,,12.1,11
"2015-03-02",,,12.64,12.44,9.68,9.35,,12.1,11.1
"2015-03-03",,,12.69,12.49,9.68,9.35,,12.1,11.1
"2015-03-05",,,12.65,12.45,9.67,9.35,,12.1,11.1
"2015-03-06",,,12.66,12.46,9.68,9.35,,12.1,11.07
"2015-03-09",,,12.63,12.44,9.68,9.35,,12.1,11.07
"2015-03-10",,,12.65,12.46,9.68,9.35,,12.1,11.07
"2015-03-11",,,12.65,12.46,10.03,9.73,,12.1,11.07
"2015-03-12",,,12.67,12.48,10.03,9.73,,12.1,11.07
"2015-03-13",,,12.66,12.47,10.03,9.73,,12.1,11.07
"2015-03-16",,,12.64,12.45,10.03,9.73,,12.1,11.07
"2015-03-17",,,12.65,12.46,10.03,9.73,,12.1,11.07
