"DateTime","ACCU Spot Price - RepuTex","LGC Spot Price - RepuTex","STC Spot Price - RepuTex"
"2018-01-02",13.25,,
"2018-01-03",13.3,,
"2018-01-04",13.35,,
"2018-01-05",13.35,,
"2018-01-08",13.35,,
"2018-01-09",13.4,,
"2018-01-10",13.45,,
"2018-01-11",13.45,,
"2018-01-12",13.5,,
"2018-01-15",13.55,,
"2018-01-16",13.55,,
"2018-01-17",13.6,,
"2018-01-18",13.55,,
"2018-01-19",13.6,,
"2018-01-22",13.65,,
"2018-01-23",13.65,,
"2018-01-24",13.7,,
"2018-01-25",13.7,,
"2018-01-29",13.75,,
"2018-01-30",13.8,,
"2018-02-05",13.85,,
"2018-02-07",13.9,,
"2018-02-09",13.85,,
"2018-02-12",13.8,,
"2018-02-13",13.75,,
"2018-02-15",13.9,,
"2018-02-16",13.9,,
"2018-02-19",13.9,,
"2018-02-20",13.9,,
"2018-02-22",13.95,,
"2018-02-23",14,,
"2018-02-27",14.05,,
"2018-02-28",14.05,,
"2018-03-02",14.05,,
"2018-03-05",14.1,,
"2018-03-06",14.15,,
"2018-03-08",14.15,,
"2018-03-12",14.15,,
"2018-03-13",14.1,,
"2018-03-14",14.15,,
"2018-03-15",14,,
"2018-03-16",13.9,,
"2018-03-19",13.95,,
"2018-03-20",14.1,,
"2018-03-21",14.15,,
"2018-03-22",14.2,,
"2018-03-23",14.2,,
"2018-03-26",14.3,,
"2018-03-27",14.35,,
"2018-03-28",14.35,,
"2018-03-29",14.55,,
"2018-04-03",14.7,,
"2018-04-06",14.8,,
"2018-04-09",14.85,,
"2018-04-10",14.9,,
"2018-04-11",14.9,,
"2018-04-12",14.95,,
"2018-04-16",15.05,,
"2018-04-17",14.9,,
"2018-04-18",14.9,,
"2018-04-19",14.95,,
"2018-04-20",15,,
"2018-04-24",15,,
"2018-04-26",15.05,,
"2018-04-30",15.05,,
"2018-05-01",15,,
"2018-05-02",14.95,,
"2018-05-03",14.95,,
"2018-05-04",15,,
"2018-05-11",15,,
"2018-05-15",15,,
"2018-05-16",15.05,,
"2018-05-17",15.05,,
"2018-05-18",15.05,,
"2018-05-21",15.05,,
"2018-05-23",15.05,,
"2018-05-25",15.05,,
"2018-05-28",15,,
"2018-05-30",15,,
"2018-05-31",15,,
"2018-06-01",14.7,,
"2018-06-04",14.7,,
"2018-06-05",14.7,,
"2018-06-06",14.7,,
"2018-06-08",14.7,,
"2018-06-12",14.7,,
"2018-06-13",14.7,,
"2018-06-14",14,,
"2018-06-15",14.5,,
"2018-06-18",14.5,,
"2018-06-19",14.5,,
"2018-06-20",14.5,,
"2018-06-21",14.5,,
"2018-06-22",14.5,,
"2018-06-25",14.5,,
"2018-06-27",14.5,,
"2018-06-28",14.5,,
"2018-06-29",14.5,,
"2018-07-02",14.5,,
"2018-07-03",14.5,,
"2018-07-04",15,,
"2018-07-05",15,,
"2018-07-09",14.5,,
"2018-07-10",14.5,,
"2018-07-11",14.5,,
"2018-07-12",14.45,,
"2018-07-13",14.45,,
"2018-07-16",14.45,,
"2018-07-17",15,,
"2018-07-18",15,,
"2018-07-19",15,,
"2018-07-20",15,,
"2018-07-23",15,,
"2018-07-25",15,,
"2018-07-26",15,,
"2018-07-27",15,,
"2018-07-30",15,,
"2018-07-31",15,,
"2018-08-02",15,,
"2018-08-03",15,,
"2018-08-06",15,,
"2018-08-07",15.35,,
"2018-08-10",15.35,,
"2018-08-13",15.35,,
"2018-08-14",14.6,,
"2018-08-15",14.6,,
"2018-08-16",14.1,,
"2018-08-17",14.1,,
"2018-08-20",14.1,,
"2018-08-21",14.1,,
"2018-08-22",14.1,,
"2018-08-23",14.1,,
"2018-08-24",14.1,,
"2018-08-28",14.1,,
"2018-08-29",14.1,,
"2018-08-30",14.5,,
"2018-09-03",14.5,,
"2018-09-05",14.5,,
"2018-09-06",14.5,,
"2018-09-07",14.5,,
"2018-09-10",14.5,,
"2018-09-12",14.5,,
"2018-09-13",14.5,,
"2018-09-17",14.5,,
"2018-09-19",14.5,,
"2018-09-20",14.5,,
"2018-09-21",14.5,,
"2018-09-26",14.5,,
"2018-09-28",14.5,,
"2018-10-02",14.5,,
"2018-10-03",14.5,,
"2018-10-09",14.5,,
"2018-10-10",14.5,,
"2018-10-11",14.5,,
"2018-10-12",14.95,,
"2018-10-15",14.95,,
"2018-10-16",14.95,,
"2018-10-17",14.95,,
"2018-10-18",14.95,,
"2018-10-19",14.95,,
"2018-10-22",14.95,,
"2018-10-23",14.95,,
"2018-10-24",14.85,,
"2018-10-25",14.85,,
"2018-10-26",14.85,,
"2018-10-30",14.85,,
"2018-11-01",14.85,,
"2018-11-05",14.85,,
"2018-11-06",14.85,,
"2018-11-07",14.85,,
"2018-11-08",14.85,,
"2018-11-09",14.85,,
"2018-11-12",15.4,,
"2018-11-14",15.4,,
"2018-11-15",15.4,,
"2018-11-16",15.4,,
"2018-11-19",15.4,,
"2018-11-20",15.4,,
"2018-11-21",15.4,,
"2018-11-22",15.4,,
"2018-11-26",15.4,,
"2018-11-28",15.4,,
"2018-11-29",15.4,,
"2018-11-30",15.4,,
"2018-12-03",15.75,,
"2018-12-04",15.75,,
"2018-12-05",15.75,,
"2018-12-06",15.75,,
"2018-12-07",15.75,,
"2018-12-10",15.75,,
"2018-12-11",15.4,,
"2018-12-12",15.4,,
"2018-12-13",15.4,,
"2018-12-14",15.4,,
"2018-12-17",15.4,,
"2018-12-18",15.4,,
"2018-12-20",15.4,,
"2018-12-21",15.4,,
"2019-01-02",15.4,,
"2019-01-03",15.4,,
"2019-01-04",15.4,,
"2019-01-07",15.4,,
"2019-01-08",15.4,,
"2019-01-09",15.4,,
"2019-01-10",15.4,,
"2019-01-11",15.55,,
"2019-01-15",15.55,,
