"DateTime","NZU Volatility Prices - Percentages","NZUs - April 2022","NZUs - April 2023","NZUs - April 2024","NZUs - April 2025","NZUs - April 2026","NZUs - April 2027","NZUs - April 2028","NZUs - April 2029","NZUs - Spot"
"2019-08-01",,,,,,,,,,23.72
"2019-08-02",,,,,,,,,,23.9
"2019-08-05",,,,,,,,,,23.7
"2019-08-06",,,,,,,,,,23.65
"2019-08-07",,,,,,,,,,23.7
"2019-08-08",,,,,,,,,,23.9
"2019-08-09",,,,,,,,,,24.15
"2019-08-12",,,,,,,,,,24.35
"2019-08-13",,,,,,,,,,24.35
"2019-08-14",,,,,,,,,,24.35
"2019-08-15",,,,,,,,,,24.3
"2019-08-16",,,,,,,,,,24.3
"2019-08-19",,,,,,,,,,24.35
"2019-08-20",,,,,,,,,,24.3
"2019-08-21",,,,,,,,,,24.25
"2019-08-22",,,,,,,,,,24.35
"2019-08-23",,,,,,,,,,24.6
"2019-08-26",,,,,,,,,,24.6
"2019-08-27",,,,,,,,,,24.65
"2019-08-28",,,,,,,,,,24.62
"2019-08-29",,,,,,,,,,24.75
"2019-08-30",,,,,,,,,,24.85
"2019-09-02",,,,,,,,,,24.88
"2019-09-03",,,,,,,,,,25
"2019-09-04",,,,,,,,,,25.05
"2019-09-05",,,,,,,,,,25.07
"2019-09-06",,,,,,,,,,25.05
"2019-09-09",,,,,,,,,,25
"2019-09-10",,,,,,,,,,24.9
"2019-09-11",,,,,,,,,,24.85
"2019-09-12",,,,,,,,,,24.82
"2019-09-13",,,,,,,,,,24.8
"2019-09-16",,,,,,,,,,24.75
"2019-09-17",,,,,,,,,,24.75
"2019-09-18",,,,,,,,,,24.85
"2019-09-19",,,,,,,,,,25
"2019-09-20",,,,,,,,,,24.97
"2019-09-23",,,,,,,,,,24.95
"2019-09-24",,,,,,,,,,24.95
"2019-09-25",,,,,,,,,,24.85
"2019-09-26",,,,,,,,,,24.85
"2019-09-27",,,,,,,,,,24.82
"2019-09-30",,,,,,,,,,24.85
"2019-10-01",,,,,,,,,,24.87
"2019-10-02",,,,,,,,,,24.8
"2019-10-03",,,,,,,,,,24.8
"2019-10-04",,,,,,,,,,24.8
"2019-10-07",,,,,,,,,,24.75
"2019-10-08",,,,,,,,,,24.75
"2019-10-09",,,,,,,,,,24.75
"2019-10-10",,,,,,,,,,24.7
"2019-10-11",,,,,,,,,,24.75
"2019-10-14",,,,,,,,,,24.75
"2019-10-15",,,,,,,,,,24.8
"2019-10-16",,,,,,,,,,24.8
"2019-10-17",,,,,,,,,,24.8
"2019-10-18",,,,,,,,,,24.8
"2019-10-21",,,,,,,,,,24.8
"2019-10-22",,,,,,,,,,24.87
"2019-10-23",,,,,,,,,,24.82
"2019-10-24",,,,,,,,,,24.95
"2019-10-25",,,,,,,,,,24.95
"2019-10-29",,,,,,,,,,25
"2019-10-30",,,,,,,,,,24.95
"2019-10-31",,,,,,,,,,24.97
