"DateTime","I-KCU20 Closing Price","I-KCU21 Closing Price","I-KOC20-22 Closing Price","I-KOC21-23 Closing Price","KAU Closing Price","KCU Closing Price","KOC20-22 Closing Price","KOC21-23 Closing Price"
"2015-01-12",,,,,8640,,,
"2015-01-13",,,,,9500,,,
"2015-01-14",,,,,9510,,,
"2015-01-15",,,,,9580,,,
"2015-01-16",,,,,9610,,,
"2015-01-19",,,,,9860,,,
"2015-01-20",,,,,9890,,,
"2015-01-21",,,,,9910,,,
"2015-01-22",,,,,9920,,,
"2015-01-23",,,,,9920,,,
"2015-01-26",,,,,9930,,,
"2015-01-27",,,,,9930,,,
"2015-01-28",,,,,9930,,,
"2015-01-29",,,,,9960,,,
"2015-01-30",,,,,9960,,,
"2015-02-02",,,,,9960,,,
"2015-02-03",,,,,9960,,,
"2015-02-04",,,,,9960,,,
"2015-02-05",,,,,9960,,,
"2015-02-06",,,,,9970,,,
"2015-02-09",,,,,9970,,,
"2015-02-10",,,,,10000,,,
"2015-02-11",,,,,10000,,,
"2015-02-12",,,,,10000,,,
"2015-02-13",,,,,10000,,,
"2015-02-16",,,,,10000,,,
"2015-02-17",,,,,10000,,,
"2015-02-23",,,,,10100,,,
"2015-02-24",,,,,10100,,,
"2015-02-25",,,,,10100,,,
"2015-02-26",,,,,10100,,,
"2015-02-27",,,,,10100,,,
"2015-03-02",,,,,10100,,,
"2015-03-03",,,,,10100,,,
"2015-03-04",,,,,10100,,,
"2015-03-05",,,,,10100,,,
"2015-03-06",,,,,10100,,,
"2015-03-09",,,,,10100,,,
"2015-03-10",,,,,10100,,,
"2015-03-11",,,,,10100,,,
"2015-03-12",,,,,10100,,,
"2015-03-13",,,,,10100,,,
"2015-03-16",,,,,10100,,,
"2015-03-17",,,,,10100,,,
"2015-03-18",,,,,10100,,,
"2015-03-19",,,,,10100,,,
"2015-03-20",,,,,10100,,,
"2015-03-23",,,,,10100,,,
"2015-03-24",,,,,10100,,,
"2015-03-25",,,,,10100,,,
"2015-03-26",,,,,10100,,,
"2015-03-27",,,,,10100,,,
"2015-03-30",,,,,10100,,,
"2015-03-31",,,,,10100,,,
"2015-04-01",,,,,10100,,,
"2015-04-02",,,,,10100,,,
"2015-04-03",,,,,10100,,,
