"DateTime","Auction Price - ICE","Front December - ICE"
"2021-05-19",43.99,45.25
"2021-05-20",,47.4
"2021-05-21",,49.89
"2021-05-24",,50.75
"2021-05-25",,50.9
"2021-05-26",,51.1
"2021-05-27",,49.5
"2021-05-28",,48.5
"2021-05-31",,48.5
"2021-06-01",,48.15
"2021-06-02",44.75,46.6
"2021-06-03",,46.25
"2021-06-04",,45.75
"2021-06-07",,46.45
"2021-06-08",,46.95
"2021-06-09",,47.51
"2021-06-10",,47.15
"2021-06-11",,46.1
"2021-06-14",,45.75
"2021-06-15",,44.5
"2021-06-16",43.4,44.1
"2021-06-17",,43.9
"2021-06-18",,44.4
"2021-06-21",,44.7
"2021-06-22",,45.3
"2021-06-23",,46.3
"2021-06-24",,46.8
"2021-06-25",,46.6
"2021-06-28",,47.15
"2021-06-29",,46.8
"2021-06-30",45.05,46.5
"2021-07-01",,47.82
"2021-07-02",,47.5
"2021-07-05",,47.6
"2021-07-06",,45
"2021-07-07",,43.9
"2021-07-08",,44.1
"2021-07-09",,45.35
"2021-07-12",,43.05
"2021-07-13",,43.22
"2021-07-14",42.01,43.46
"2021-07-15",,43.4
"2021-07-16",,43.6
"2021-07-19",,43.9
"2021-07-20",,43
"2021-07-21",,43.7
"2021-07-22",,42.9
"2021-07-23",,42.4
"2021-07-26",,43.48
"2021-07-27",,46.62
"2021-07-28",42.29,43.41
"2021-07-29",,43.97
"2021-07-30",,43.98
"2021-08-02",,45.61
"2021-08-03",,45.65
"2021-08-04",,46.96
"2021-08-05",,47.85
"2021-08-06",,48.25
"2021-08-09",,48.02
"2021-08-10",,48
"2021-08-11",47.25,49.05
"2021-08-12",,48.5
"2021-08-13",,48.2
"2021-08-16",,49.8
"2021-08-17",,49.39
"2021-08-18",,49.19
"2021-08-19",,47.04
"2021-08-20",,47.65
"2021-08-23",,48.49
"2021-08-24",,48.79
"2021-08-25",48.75,48.98
"2021-08-26",,49.2
"2021-08-27",,50.75
"2021-08-30",,50.75
"2021-08-31",,52.16
"2021-09-01",,52.09
"2021-09-02",,53.12
"2021-09-03",,53.01
"2021-09-06",,53.73
"2021-09-07",,53.5
"2021-09-08",53.25,53.76
"2021-09-09",,54.05
"2021-09-10",,53.2
"2021-09-13",,53.35
"2021-09-14",,52.64
"2021-09-15",,53.8
"2021-09-16",,54.03
"2021-09-17",,55.16
"2021-09-20",,56.14
"2021-09-21",,55.78
"2021-09-22",55.21,56.66
"2021-09-23",,59.2
"2021-09-24",,64.75
"2021-09-27",,71.35
"2021-09-28",,74.47
"2021-09-29",,75.56
"2021-09-30",,74.2
"2021-10-01",,73.85
"2021-10-04",,69.25
"2021-10-05",,69.4
"2021-10-06",60,60.48
"2021-10-07",,62.68
"2021-10-08",,62.36
