"DateTime","Washington Carbon Allowance Front December","Washington Carbon Allowance Front Month"
"2022-12-05",36,
"2022-12-06",36,
"2022-12-07",36,
"2022-12-08",36,
"2022-12-09",36,
"2022-12-12",36,
"2022-12-13",37.5,
"2022-12-14",41,
"2022-12-15",39,
"2022-12-16",39.5,
"2022-12-19",39.5,
"2022-12-20",39.5,
"2022-12-21",40,
"2022-12-22",40,
"2022-12-23",40,
"2022-12-26",40,
"2022-12-27",40,
"2022-12-28",40,
"2022-12-29",43,
"2022-12-30",43,
"2023-01-02",43,
"2023-01-03",43,
"2023-01-04",43,
"2023-01-05",43,
"2023-01-06",43,
"2023-01-09",43,
"2023-01-10",43,
"2023-01-11",43,
"2023-01-12",43,
"2023-01-13",43,
"2023-01-16",43,
"2023-01-17",43,
"2023-01-18",43,
"2023-01-19",43,
"2023-01-20",43,
"2023-01-23",43,
"2023-01-24",43,
"2023-01-25",43,
"2023-01-26",43,
"2023-01-27",43,
"2023-01-30",43,
"2023-01-31",43,
"2023-02-01",43,
"2023-02-02",43,
"2023-02-03",43,
"2023-02-06",43,
"2023-02-07",43,
"2023-02-08",43,
"2023-02-09",43,
"2023-02-10",43,
"2023-02-13",43,
"2023-02-14",43,
"2023-02-15",43,
"2023-02-16",43,
"2023-02-17",43,
"2023-02-20",43,
"2023-02-21",43,
"2023-02-22",43,
"2023-02-23",43,
"2023-02-24",43,
"2023-02-27",43,
"2023-02-28",43,
"2023-03-01",42.75,
"2023-03-02",42,
"2023-03-03",42.5,
"2023-03-06",43,
"2023-03-07",50,
"2023-03-08",52,49.77
"2023-03-09",52,49.75
"2023-03-10",52,49.75
"2023-03-13",52,49.79
"2023-03-14",52,49.87
"2023-03-15",52,49.91
"2023-03-16",52,49.98
"2023-03-17",52,49.98
"2023-03-20",52,50.02
"2023-03-21",52,50.02
"2023-03-22",52,50.03
"2023-03-23",52,50.03
"2023-03-24",52,50.04
"2023-03-27",57,54.85
"2023-03-28",57,54.8
"2023-03-29",57,54.76
"2023-03-30",57,54.76
"2023-03-31",59,56.7
"2023-04-03",59,56.66
"2023-04-04",59,56.68
"2023-04-05",60,57.62
"2023-04-06",60,57.62
"2023-04-07",60,57.62
"2023-04-10",62,59.54
"2023-04-11",62,59.49
"2023-04-12",65,62.43
"2023-04-13",69.25,66.48
"2023-04-14",70.5,67.68
"2023-04-17",67,64.3
"2023-04-18",69,66.23
"2023-04-19",68,65.24
"2023-04-20",69,66.26
"2023-04-21",68,65.3
"2023-04-24",69,66.24
"2023-04-25",68.5,65
"2023-04-26",68.5,66.07
"2023-04-27",69,66.58
"2023-04-28",65,63.3
"2023-05-01",64,61.25
"2023-05-02",64,61.25
"2023-05-03",64,61.25
"2023-05-04",64,61.25
"2023-05-05",63.5,60.77
"2023-05-08",63.5,60.77
"2023-05-09",64,61.25
"2023-05-10",64,61.25
"2023-05-11",64,61.25
"2023-05-12",64,61.25
"2023-05-15",64,61.25
"2023-05-16",63.5,60.77
"2023-05-17",63.5,60.77
"2023-05-18",63.5,60.77
"2023-05-19",63.5,60.77
"2023-05-22",63.5,60.77
"2023-05-23",63.5,60.77
"2023-05-24",63.5,60.77
"2023-05-25",63.5,60.77
"2023-05-26",63.5,61.16
"2023-05-29",63.5,61.16
"2023-05-30",64,61.64
"2023-05-31",64,61.64
"2023-06-01",64,61.64
"2023-06-02",64,61.64
"2023-06-05",61.25,58.99
"2023-06-06",61,58.75
"2023-06-07",56,53.92
"2023-06-08",56,53.92
"2023-06-09",66,63.62
"2023-06-12",68,65.54
"2023-06-13",65,62.65
"2023-06-14",63.5,61.11
"2023-06-15",63,60.63
"2023-06-16",63,60.63
"2023-06-19",63,60.63
"2023-06-20",63.5,61.11
"2023-06-21",63.5,61.11
"2023-06-22",65.25,62.86
"2023-06-23",65.25,62.86
"2023-06-26",65.25,62.86
"2023-06-27",65.25,62.86
"2023-06-28",66.5,64.35
"2023-06-29",66,63.87
"2023-06-30",67.15,65
"2023-07-03",66.5,64.35
"2023-07-04",66.5,64.35
"2023-07-05",66,63.87
"2023-07-06",66,63.87
"2023-07-07",66,63.6
"2023-07-10",65.5,63.12
"2023-07-11",65.5,63.12
"2023-07-12",65.5,63.12
"2023-07-13",65,62.64
"2023-07-14",66,63.6
"2023-07-17",66,63.6
"2023-07-18",65.5,63.12
"2023-07-19",66.25,63.84
"2023-07-20",66.5,64.08
"2023-07-21",66.5,64.08
"2023-07-24",66.5,64.08
"2023-07-25",66.5,64.08
"2023-07-26",66.5,64.08
"2023-07-27",66.75,64.81
"2023-07-28",66.75,64.81
"2023-07-31",66.75,64.81
"2023-08-01",67.25,65.29
"2023-08-02",67.5,65.53
"2023-08-03",67.5,65.53
"2023-08-04",67.5,65.53
"2023-08-07",67.5,65.53
"2023-08-08",67.5,66.04
"2023-08-09",68,65.75
"2023-08-10",68,65.75
"2023-08-11",68.25,66
"2023-08-14",68,65.75
"2023-08-15",67.5,65.27
"2023-08-16",70,67.69
"2023-08-17",69.25,66.95
"2023-08-18",68.75,66.47
"2023-08-21",68.75,66.47
"2023-08-22",68.75,66.47
"2023-08-23",68,66.15
"2023-08-24",68.5,66.63
"2023-08-25",68.5,66.63
"2023-08-28",67.5,65.5
"2023-08-29",68.5,66.98
"2023-08-30",67.5,66
"2023-08-31",67.5,66
"2023-09-01",67.5,66
"2023-09-04",67.5,66
"2023-09-05",67.25,65.76
"2023-09-06",57.5,56
"2023-09-07",54,52.75
"2023-09-08",54,52.75
"2023-09-11",56,54.7
"2023-09-12",56,54.7
"2023-09-13",57,55.68
"2023-09-14",57,55.68
"2023-09-15",57,55.68
"2023-09-18",56.75,55.44
"2023-09-20",55.5,54.37
"2023-09-21",54.5,53.4
"2023-09-22",54,52.96
"2023-09-25",54,53
"2023-09-26",54,53
"2023-09-27",53.5,52.5
"2023-09-28",53.5,52.83
"2023-09-29",53,52.33
"2023-10-02",53,52.33
"2023-10-03",53,52.35
"2023-10-04",53,52.35
"2023-10-05",53,52.35
"2023-10-06",52.75,52.1
"2023-10-09",52.75,52.1
"2023-10-10",52.75,52.1
"2023-10-11",51,50.37
"2023-10-12",51,50.37
"2023-10-13",51.5,50.87
"2023-10-16",51.5,50.87
"2023-10-17",51.75,51.15
"2023-10-18",51.75,51.15
"2023-10-19",52,51.4
"2023-10-20",52.5,51.94
"2023-10-23",52,51.45
"2023-10-24",52,51.45
"2023-10-25",52.25,51.7
"2023-10-26",52.4,52
"2023-10-27",52.5,52
"2023-10-30",52.5,52.25
"2023-10-31",52.75,52.5
"2023-11-01",53,52.75
"2023-11-02",53.25,53
"2023-11-03",53,52.75
"2023-11-06",53.25,53
"2023-11-07",53.75,53.5
"2023-11-08",53.5,53.25
"2023-11-09",53,52.75
"2023-11-10",53.25,53
"2023-11-13",53.25,53
"2023-11-14",53.25,53
"2023-11-15",54.75,54.49
"2023-11-16",55.5,55.24
"2023-11-17",55.75,55.49
"2023-11-20",56,55.74
"2023-11-21",56.25,55.99
"2023-11-22",56,55.74
"2023-11-23",55.89,55.63
"2023-11-24",55.89,55.63
"2023-11-27",55.89,55.63
"2023-11-28",55.89,55.63
"2023-11-29",55.75,55.75
"2023-11-30",55.25,55.25
"2023-12-01",55,55
"2023-12-04",53.25,53.25
"2023-12-05",53.25,53.25
"2023-12-06",54,54
"2023-12-07",53.25,53.25
"2023-12-08",53.5,53.5
"2023-12-11",52.5,52.5
"2023-12-12",52.5,52.5
"2023-12-13",52.75,52.75
"2023-12-14",52.75,52.75
"2023-12-15",53,53
"2023-12-18",52.75,52.75
"2023-12-19",51.5,51.5
"2023-12-20",52,52
"2023-12-21",52.25,52.25
"2023-12-22",52.25,52.25
"2023-12-25",51.95,51.95
"2023-12-26",51.95,51.95
"2023-12-27",54.25,52.19
"2023-12-28",54.25,52.19
"2023-12-29",54.25,52.19
"2024-01-01",54.25,52.19
"2024-01-02",54.25,52.19
"2024-01-03",54,52.1
"2024-01-04",54,52.1
"2024-01-05",54,52.1
"2024-01-08",54,52.1
"2024-01-09",53.25,51.5
"2024-01-10",52,49.25
"2024-01-11",52,49.25
"2024-01-12",51.5,48.78
"2024-01-15",50,47.35
"2024-01-16",50,47.35
"2024-01-17",50,47.45
"2024-01-18",50,47.5
"2024-01-19",49,46.55
"2024-01-22",48.75,46.15
"2024-01-23",48.25,45.68
"2024-01-24",45,42.5
"2024-01-25",41.25,38.96
"2024-01-26",39.25,36.87
"2024-01-29",37.75,35.75
"2024-01-30",35,33.31
"2024-01-31",35,33
"2024-02-01",35,33
"2024-02-02",35,33
"2024-02-05",35,33
"2024-02-06",33.5,31.58
"2024-02-07",33.5,31.58
"2024-02-08",33.5,31.58
"2024-02-09",36.5,34.41
"2024-02-12",36.5,34.5
"2024-02-13",37.25,35.21
"2024-02-14",36.75,34.74
"2024-02-15",36.75,34.74
"2024-02-16",36.75,34.74
"2024-02-19",36.75,34.74
"2024-02-20",36.75,34.74
"2024-02-21",36.75,34.74
"2024-02-22",36.75,34.8
"2024-02-23",36.75,35
"2024-02-26",36.75,35.05
"2024-02-27",36.75,35.05
"2024-02-28",36.75,35.21
"2024-02-29",36.5,34.99
"2024-03-01",36.5,35.05
"2024-03-04",35.5,34.09
"2024-03-05",35.25,33.9
"2024-03-06",31.65,30.44
"2024-03-07",31,29.78
"2024-03-08",32.78,31.46
"2024-03-11",32.75,31.44
"2024-03-12",33,31.77
"2024-03-13",33,31.81
"2024-03-14",30.5,29.37
"2024-03-15",30,28.82
"2024-03-18",30,28.61
"2024-03-19",30,28.5
"2024-03-20",31.89,30.26
"2024-03-21",32,30.25
"2024-03-22",32,30.2
"2024-03-25",36,34
"2024-03-26",34.25,32.68
"2024-03-27",34.1,32.71
"2024-03-28",34.5,33.09
"2024-03-29",35,33.57
"2024-04-01",35,33.57
"2024-04-02",35.25,33.6
"2024-04-03",35.25,33.6
"2024-04-04",35.25,33.6
"2024-04-05",35.75,34.08
"2024-04-08",36.5,34.8
"2024-04-09",36.5,34.8
"2024-04-10",36,34.32
"2024-04-11",36,34.35
"2024-04-12",36,34.36
"2024-04-15",36.5,34.9
"2024-04-16",37.5,35.95
"2024-04-17",38,36.39
"2024-04-18",38,36.39
"2024-04-19",38.25,36.63
"2024-04-22",38.25,36.63
"2024-04-23",38.25,36.63
"2024-04-24",38.25,36.49
"2024-04-25",37,35.35
"2024-04-26",36.5,34.85
"2024-04-29",36.5,35.05
"2024-04-30",37.75,36.25
"2024-05-01",37.75,36.25
"2024-05-02",38,36.49
"2024-05-03",38,36.49
"2024-05-06",38,36.5
"2024-05-07",37.95,36.45
"2024-05-08",38,36.6
"2024-05-09",38,36.65
"2024-05-10",38,36.7
"2024-05-13",38,36.7
"2024-05-14",38.1,36.8
"2024-05-15",38.25,37
"2024-05-16",38.25,36.84
"2024-05-17",38.1,36.7
"2024-05-20",38.5,37.08
"2024-05-21",38.75,37.33
"2024-05-22",39,37.5
"2024-05-23",39,37.5
"2024-05-24",39,37.5
"2024-05-27",39,37.5
"2024-05-28",39,37.5
"2024-05-29",39,37.5
"2024-05-30",39.25,37.96
"2024-05-31",39.25,37.96
"2024-06-03",39.25,37.96
"2024-06-04",38.5,37.25
"2024-06-05",35.25,34.12
"2024-06-06",34,32.91
"2024-06-07",32.75,31.67
"2024-06-10",32.75,31.67
"2024-06-11",32.75,31.67
"2024-06-12",32.25,31.19
"2024-06-13",32,30.95
"2024-06-14",33.25,32.16
"2024-06-17",34,32.8
"2024-06-18",34,32.75
"2024-06-19",34,32.75
"2024-06-20",34,32.75
"2024-06-21",34,32.75
"2024-06-24",34,32.75
"2024-06-25",33.85,32.61
"2024-06-26",33.85,32.61
"2024-06-27",33.85,32.85
"2024-06-28",34.25,33.24
"2024-07-01",34.25,33.24
"2024-07-02",34.25,33.24
"2024-07-03",35,34.08
"2024-07-04",35,34.08
"2024-07-05",35,34.08
"2024-07-08",35,34.1
"2024-07-09",35,34.1
"2024-07-10",35.25,34.34
"2024-07-11",35.25,34.3
"2024-07-12",35.25,34.3
"2024-07-15",35.25,34.3
"2024-07-16",35.2,34.25
"2024-07-17",35.15,34.2
"2024-07-18",35.15,34.15
"2024-07-19",35.15,34.15
"2024-07-22",35.25,34.24
"2024-07-23",35.25,34.24
"2024-07-24",35.5,34.49
"2024-07-25",35.75,34.76
"2024-07-26",35.75,34.76
"2024-07-29",35.65,34.66
"2024-07-30",35.65,34.86
"2024-07-31",35.65,34.86
"2024-08-01",35,34.15
"2024-08-02",35.5,34.64
"2024-08-05",35.75,34.85
"2024-08-06",35.75,34.89
"2024-08-07",35.75,34.89
"2024-08-08",35.6,34.8
"2024-08-09",35.6,34.8
"2024-08-12",36,35.19
"2024-08-13",35.85,35.05
"2024-08-14",35.85,35.05
"2024-08-15",35.85,35.1
"2024-08-16",35.85,35.1
"2024-08-19",35.85,35.1
"2024-08-20",36,35.25
"2024-08-21",35.85,35.1
"2024-08-22",35.75,35
"2024-08-23",35.75,35
