"","Date","New Zealand Emissions Trading System","European Union Emissions Trading System","Korean Emissions Trading System","United Kingdom Emissions Trading Scheme","China National Emissions Trading System","Hubei (Pilot) Emissions Trading System"
"1",2010-01-05,"20","12.55",NA,NA,NA,NA
"2",2010-01-06,"20","12.19",NA,NA,NA,NA
"3",2010-01-07,"20","12.39",NA,NA,NA,NA
"4",2010-01-08,"20","12.72",NA,NA,NA,NA
"5",2010-01-11,"20","13.02",NA,NA,NA,NA
"6",2010-01-12,"20","12.8",NA,NA,NA,NA
"7",2010-01-13,"20.4","12.65",NA,NA,NA,NA
"8",2010-01-14,"20.4","13.26",NA,NA,NA,NA
"9",2010-01-15,"20.4","13.08",NA,NA,NA,NA
"10",2010-01-18,"20.4","13.33",NA,NA,NA,NA
"11",2010-01-19,"20.4","13.41",NA,NA,NA,NA
"12",2010-01-20,"20.4","13.2",NA,NA,NA,NA
"13",2010-01-21,"20.4","13.09",NA,NA,NA,NA
"14",2010-01-22,"20.4","12.94",NA,NA,NA,NA
"15",2010-01-25,NA,"13.16",NA,NA,NA,NA
"16",2010-01-26,"20.4","13.36",NA,NA,NA,NA
"17",2010-01-27,"20.4","13.3",NA,NA,NA,NA
"18",2010-01-28,"20.4","12.98",NA,NA,NA,NA
"19",2010-01-29,"20.4","12.87",NA,NA,NA,NA
"20",2010-02-01,NA,"12.7",NA,NA,NA,NA
"21",2010-02-02,"20.4","12.54",NA,NA,NA,NA
"22",2010-02-03,"20.4","12.66",NA,NA,NA,NA
"23",2010-02-04,"20.4","12.92",NA,NA,NA,NA
"24",2010-02-05,"20.4","13.17",NA,NA,NA,NA
"25",2010-02-08,"20.4","13.42",NA,NA,NA,NA
"26",2010-02-09,"20.4","13.41",NA,NA,NA,NA
"27",2010-02-10,"20.4","13.15",NA,NA,NA,NA
"28",2010-02-11,"20.4","13.01",NA,NA,NA,NA
"29",2010-02-12,"20.4","12.83",NA,NA,NA,NA
"30",2010-02-15,"20.4","12.91",NA,NA,NA,NA
"31",2010-02-16,"20.4","13.14",NA,NA,NA,NA
"32",2010-02-17,"20.4","12.94",NA,NA,NA,NA
"33",2010-02-18,"20.4","12.71",NA,NA,NA,NA
"34",2010-02-19,"20.4","12.48",NA,NA,NA,NA
"35",2010-02-22,"20.4","12.6",NA,NA,NA,NA
"36",2010-02-23,"20.4","12.59",NA,NA,NA,NA
"37",2010-02-24,"20.4","12.88",NA,NA,NA,NA
"38",2010-02-25,"20.4","12.77",NA,NA,NA,NA
"39",2010-02-26,"20.4","12.83",NA,NA,NA,NA
"40",2010-03-01,"20.4","13.08",NA,NA,NA,NA
"41",2010-03-02,"20.4","13.15",NA,NA,NA,NA
"42",2010-03-03,"20.4","13.32",NA,NA,NA,NA
"43",2010-03-04,"20.4","13.13",NA,NA,NA,NA
"44",2010-03-05,"20.4","13.08",NA,NA,NA,NA
"45",2010-03-08,"20.4","13.04",NA,NA,NA,NA
"46",2010-03-09,"20.4","12.96",NA,NA,NA,NA
"47",2010-03-10,"20.4","13.09",NA,NA,NA,NA
"48",2010-03-11,"20.4","12.79",NA,NA,NA,NA
"49",2010-03-12,"20.4","12.7",NA,NA,NA,NA
"50",2010-03-15,"20.4","12.85",NA,NA,NA,NA
"51",2010-03-16,"20.4","12.91",NA,NA,NA,NA
"52",2010-03-17,"20.4","12.86",NA,NA,NA,NA
"53",2010-03-18,"20.4","12.96",NA,NA,NA,NA
"54",2010-03-19,"20.4","12.96",NA,NA,NA,NA
"55",2010-03-22,"20.4","13",NA,NA,NA,NA
"56",2010-03-23,"20.4","12.74",NA,NA,NA,NA
"57",2010-03-24,"20.4","12.5",NA,NA,NA,NA
"58",2010-03-25,"20.4","12.52",NA,NA,NA,NA
"59",2010-03-26,"20.4","12.69",NA,NA,NA,NA
"60",2010-03-29,"20.4","12.69",NA,NA,NA,NA
"61",2010-03-30,"20.4","12.59",NA,NA,NA,NA
"62",2010-03-31,"20.4","12.69",NA,NA,NA,NA
"63",2010-04-01,"20.4","12.82",NA,NA,NA,NA
"64",2010-04-06,"20.4","13.17",NA,NA,NA,NA
"65",2010-04-07,"20.4","13.33",NA,NA,NA,NA
"66",2010-04-08,"20.4","13.44",NA,NA,NA,NA
"67",2010-04-09,"20.4","13.51",NA,NA,NA,NA
"68",2010-04-12,"20.4","13.45",NA,NA,NA,NA
"69",2010-04-13,"20.4","13.45",NA,NA,NA,NA
"70",2010-04-14,"20.4","13.95",NA,NA,NA,NA
"71",2010-04-15,"20.4","14.01",NA,NA,NA,NA
"72",2010-04-16,"20.4","14.33",NA,NA,NA,NA
"73",2010-04-19,"20.4","14.51",NA,NA,NA,NA
"74",2010-04-20,"20.4","14.59",NA,NA,NA,NA
"75",2010-04-21,"20.4","14.53",NA,NA,NA,NA
"76",2010-04-22,"20.4","14.56",NA,NA,NA,NA
