,"New Zealand Emissions Trading System",,,,,,,,,,"European Union Emissions Trading System",,,,,,"Korean Emissions Trading System",,,,,,"United Kingdom Emissions Trading Scheme",,,,,,,,"China National Emissions Trading System",,,,,,"Hubei (Pilot) Emissions Trading System",,,,,
Date,"Primary Market","Primary Stability 1","Primary Stability 2","Primary Stability 3","Secondary Market","Secondary Stability 5","Market Currency","Exchange rate NZD/EUR","Exchange rate NZD/USD",,"Primary Market","Secondary Market","Market Currency","Exchange rate EUR/EUR","Exchange rate EUR/USD",,"Primary Market","Secondary Market","Market Currency","Exchange rate KRW/EUR","Exchange rate KRW/USD",,"Primary Market","Primary Stability 1","Primary Stability 2","Secondary Market","Market Currency","Exchange rate GBP/EUR","Exchange rate GBP/USD",,"Primary Market","Secondary Market","Market Currency","Exchange rate CNY/EUR","Exchange rate CNY/USD",,"Primary Market","Secondary Market","Market Currency","Exchange rate CNY/EUR","Exchange rate CNY/USD",
2010-01-05,,,,,20,25,NZD,0.509702774,0.727452897,,12.67,12.55,EUR,1,1.42721,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-06,,,,,20,25,NZD,0.509702774,0.727452897,,,12.19,EUR,1,1.42721,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-07,,,,,20,25,NZD,0.509702774,0.727452897,,,12.39,EUR,1,1.42721,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-08,,,,,20,25,NZD,0.509702774,0.727452897,,,12.72,EUR,1,1.42721,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-11,,,,,20,25,NZD,0.509702774,0.727452897,,,13.02,EUR,1,1.42721,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-12,,,,,20,25,NZD,0.509702774,0.727452897,,12.71,12.8,EUR,1,1.42721,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-13,,,,,20.4,25,NZD,0.509702774,0.727452897,,,12.65,EUR,1,1.42721,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-14,,,,,20.4,25,NZD,0.509702774,0.727452897,,,13.26,EUR,1,1.42721,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-15,,,,,20.4,25,NZD,0.509702774,0.727452897,,,13.08,EUR,1,1.42721,,,,,,,,,,,,,,,,,,,,,,,,,,,
