"","Date","NZU","EUA","KAU","CEA","HBEA","ACCU","UKA","WCA","CCA"
"1",2007-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2007-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2007-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2007-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2007-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2007-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2007-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2007-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2007-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2007-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2007-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2007-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2007-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2007-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2007-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2007-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2007-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2007-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2007-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2007-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2007-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2007-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2007-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2007-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2007-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2007-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2007-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2007-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2007-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2007-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2007-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2007-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2007-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2007-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2007-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2007-02-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2007-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2007-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2007-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2007-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2007-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2007-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2007-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2007-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2007-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2007-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
