Year,EventNumber,Event,Date Range,Category,StartDate,EndDate,Midpoint,Description
2018,1,Introduction of the Market Stability Reserve (MSR) in K-ETS,2018.07.18,carbon market,18/07/2018,18/07/2018,18/07/2018,No description provided.
2020,2,CCA Price Floor Increase in California,2020.01.01-2020.01.31,carbon market,1/01/2020,31/01/2020,16/01/2020,"California increases the price floor for CCAs, providing greater price certainty but also increasing compliance costs."
2020,3,Introduction of Market Stabilization Measures in Korea ETS,2020.06.01-2020.08.31,carbon market,1/06/2020,31/08/2020,16/07/2020,South Korea implements market stabilization measures in the KAU market to address price volatility.
2021,4,Introduction of Auctioning in NZ ETS,2021.03.17-2021.03.17,carbon market,17/03/2021,17/03/2021,17/03/2021,"Auctioning is introduced in the New Zealand Emissions Trading Scheme, allowing the government to control the supply of NZUs and impacting market prices."
2021,5,Launch of Phase 4 of the EU ETS,2021.01.01-2021.12.31,carbon market,1/01/2021,31/12/2021,2/07/2021,"The beginning of Phase 4 of the EU ETS, with stricter emission reduction targets and updated allocation rules, impacting carbon prices."
2021,6,Start of Phase 3 of the Korea ETS,2021.01.01-2021.12.31,carbon market,1/01/2021,31/12/2021,2/07/2021,"Phase 3 of the Korea ETS begins, introducing stricter caps and new sectors, affecting KAU prices."
2021,7,Integration of Hubei Market into the National ETS,2021.07.01-2021.07.31,carbon market,1/07/2021,31/07/2021,16/07/2021,"Hubeiâ€™s carbon market is integrated into Chinaâ€™s national ETS, leading to changes in allowance prices and trading volumes."
2021,8,ACCU Volatility drop as liquidity moves from government led purchases the secondary market,2021.09.01-2021.02.15,carbon market,1/09/2021,15/02/2022,23/11/2021,"ACCU prices surge as corporate demand for carbon offsets increases, driven by net-zero commitments and expecations for policy changes to increase compliance demand."
2022,9,EU ETS Price Surge,2022.02.01-2022.03.31,carbon market,1/02/2022,31/03/2022,2/03/2022,Carbon prices in the EU ETS reach record highs due to tightening supply and increased energy prices.
2023,10,Revisions to Free Allocation Rules in NZ ETS,2023.04.01-2023.06.30,carbon market,1/06/2023,30/06/2023,15/06/2023,"Changes to the free allocation rules are implemented, affecting the number of NZUs allocated to emissions-intensive, trade-exposed industries."
2023,11,Tightening of Australia's emissions compliance scheme - the Safeguard Mechanism,2023.07.01-2023.07.31,carbon market,31/07/2023,31/07/2023,31/07/2023,"The Australian government reforms its Safeguard Mechanism, tightening emission limits for large emitters."
2019,12,Covid hit China,2019.12.31,covid-19,31/12/2019,31/03/2020,14/02/2020,No description provided.
2021,13,Global Coal Phase-Out Agreement at COP26,2021.11.01-2021.11.12,energy,1/11/2021,12/11/2021,6/11/2021,"An international agreement is reached to phase out coal power, significantly impacting global carbon markets."
2018,14,2018 cryptocurrency crash-Bitcoin ultimately fell by approximately 65 %,2018.01–02,finance,1/01/2018,1/02/2018,16/01/2018,No description provided.
2019,15,European Commission Announces European Green Deal,2019.12.11-2019.12.11,global politics,11/12/2019,11/12/2019,11/12/2019,"The announcement of the European Green Deal aimed at making the EU climate-neutral by 2050, leading to significant impacts on carbon markets and financial sectors tied to renewable energy and sustainability."
2022,16,Russian Invasion of Ukraine,2022.02.24-2022.02.24,global politics,24/02/2022,24/03/2022,10/03/2022,"The invasion led to severe disruptions in global energy markets, with significant impacts on EU carbon prices and a shift towards energy independence within Europe."
2018,17,KAU Volatility due to colder SK winter,2018.05.01-2018.06.30,weather,1/05/2018,30/06/2018,31/05/2018,"South Korea saw increased energy demand in early 2018, especially during colder months, leading to higher emissions from power generation. Coinciding with the complaince deadline in June 2018,  this saw greater speculation and price volaility as participants expected increased demand for KAUs as power companies had to purchase more allowances to cover their emissions."
2018,18,Multiple deadly heat waves hit East Asia + Monsoon flood in India where Kerala state reported 500 deaths,2018.07.20–08.30,weather,20/07/2018,30/08/2018,9/08/2018,No description provided.
2021,19,European Cold Wave Impacting Energy Demand,2021.01.01-2021.02.28,weather,1/01/2021,28/02/2021,30/01/2021,"A severe cold wave across Europe significantly increased heating demand, leading to higher carbon emissions and increased EU ETS allowance prices."
2022,20,Drought in Northern Europe Reduces Hydropower Production,2022.05.01-2022.08.31,weather,1/05/2022,31/08/2022,1/07/2022,"A prolonged drought in Northern Europe led to reduced hydropower generation, increasing reliance on fossil fuels and driving up EU ETS carbon prices."
2023,21,2023 European Heatwave Impacting Nuclear and Coal Power Generation,2023.07.01-2023.08.31,weather,1/07/2023,31/08/2023,31/07/2023,"A severe heatwave affected the cooling capacities of nuclear and coal power plants across Europe, leading to increased carbon intensity and higher EU ETS prices."
