"Date","Optimal_Lag"
2013-12-06,1
2013-12-13,1
2013-12-20,1
2013-12-27,1
2014-01-03,1
2014-01-10,1
2014-01-17,1
2014-01-24,1
2014-01-31,1
2014-02-07,1
2014-02-14,1
2014-02-21,1
2014-02-28,1
2014-03-07,1
2014-03-14,1
2014-03-21,1
2014-03-28,1
2014-04-04,1
2014-04-11,1
2014-04-18,1
2014-04-25,2
2014-05-02,2
2014-05-09,1
2014-05-16,1
2014-05-23,1
2014-05-30,1
2014-06-06,1
2014-06-13,1
2014-06-20,1
2014-06-27,1
2014-07-04,1
2014-07-11,1
2014-07-18,1
2014-07-25,1
2014-08-01,1
2014-08-08,1
2014-08-15,1
2014-08-22,1
2014-08-29,1
2014-09-05,1
2014-09-12,1
2014-09-19,1
2014-09-26,1
2014-10-03,1
2014-10-10,1
2014-10-17,1
2014-10-24,1
2014-10-31,1
2014-11-07,1
2014-11-14,1
2014-11-21,1
2014-11-28,1
2014-12-05,1
2014-12-12,1
2014-12-19,1
2014-12-26,1
2015-01-09,1
2015-01-16,1
2015-01-23,1
2015-01-30,1
2015-02-06,2
2015-02-13,2
2015-02-20,3
2015-02-27,3
2015-03-06,4
2015-03-13,4
2015-03-20,5
2015-03-27,5
2015-04-03,6
2015-04-10,6
2015-04-17,7
2015-04-24,7
2015-05-01,8
2015-05-08,8
2015-05-15,9
2015-05-22,9
2015-05-29,10
2015-06-05,10
2015-06-12,10
2015-06-19,1
2015-06-26,1
2015-07-03,1
2015-07-10,1
2015-07-17,1
2015-07-24,1
2015-07-31,1
2015-08-07,1
2015-08-14,1
2015-08-21,1
2015-08-28,1
2015-09-04,1
2015-09-11,1
2015-09-18,1
2015-09-25,1
2015-10-02,1
2015-10-09,1
2015-10-16,1
2015-10-23,1
2015-10-30,1
2015-11-06,1
2015-11-13,1
2015-11-20,1
2015-11-27,1
2015-12-04,1
2015-12-11,1
2015-12-18,1
2015-12-25,1
2016-01-08,1
2016-01-15,1
2016-01-22,1
2016-01-29,1
2016-02-05,1
2016-02-12,1
2016-02-19,1
2016-02-26,1
2016-03-04,1
2016-03-11,1
2016-03-18,1
2016-03-25,1
2016-04-01,1
2016-04-08,1
